Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,user_id,user_rating,track_index
107395,107395,1VKnVxZZnubjTEJG6Tme1y,Papa Dance,Papa Dance,Kamikadze wróć!,30,220266,False,0.786,0.866,11,-9.756,1,0.0399,0.286,0.0,0.245,0.967,129.212,4,synth-pop,4507,3,2936
74084,74084,5HaAOqKwmgyXNAZKGVhdsS,Renato Teixeira,Renato Teixeira Obra Completa na RCA de 1978 a 1982 (Remasterizado),Romaria - Remasterizado,47,243466,False,0.505,0.346,2,-10.3,1,0.0263,0.6,2.5e-06,0.0787,0.377,92.412,3,mpb,2294,5,10376
104751,104751,4FrThBco0jLqXEMULUhSM9,Alberto Gambino,Purpurina,Purpurina,59,192000,False,0.89,0.643,9,-6.093,1,0.0688,0.135,0.0,0.241,0.97,132.08,4,spanish,4772,6,8333
68943,68943,5yf7KwimprrLD0k9ERKo3B,Cachureos,Cachureos 96,La Mosca,38,190323,False,0.832,0.857,10,-7.839,0,0.0417,0.087,0.0043,0.636,0.882,122.58,4,latino,1466,4,11745
90690,90690,1EOqrbAoknedZqtKuYublT,Enrique Guzman,Idolos del Rock de los 60's: Enrique Guzman,Magia Blanca,31,202240,False,0.636,0.647,2,-9.542,1,0.0313,0.194,0.0,0.783,0.883,138.493,4,rock-n-roll,2238,3,2407
45972,45972,7lVrGPpy0wF0l5uUGkm2u6,Eddy Tyler,Guitar Instrumental Covers,River Flows In You,36,384000,False,0.458,0.315,9,-14.259,1,0.0661,0.922,0.692,0.0954,0.261,134.27,4,guitar,2482,4,14865
77299,77299,68IM1CzYx1ss90EstdELgK,Thiaguinho,Meu Nome É Thiago André (Ao Vivo),Retalhos De Cetim - Ao Vivo,48,236821,False,0.614,0.598,7,-7.939,0,0.032,0.425,0.0,0.948,0.508,131.983,4,pagode,4171,5,12061
62630,62630,2DiXeuEpop3BfGDGxW8iVz,WANIMA,Can Not Behaved!!,Hey Lady,37,73226,False,0.456,0.935,9,-2.185,1,0.0883,4.28e-05,0.0,0.368,0.486,115.019,4,j-pop,3919,4,4329
21720,21720,1dQr0yyC5JEqjhEyA1BtUR,HarrySong;Rudeboy,Right About Now,Konna,53,200387,False,0.809,0.745,7,-5.34,1,0.174,0.138,0.0,0.334,0.897,102.967,4,dancehall,2685,5,3179
25258,25258,5MoDQWMDMaAGDEiWsJfeCi,The Bangles,The Essential Bangles,Eternal Flame,68,238026,False,0.526,0.358,4,-7.239,0,0.0243,0.525,0.0,0.0942,0.399,78.989,3,disco,3391,7,10536
106695,106695,4mEqYN7XWHsxutgApicsG4,Lars Winnerbäck,Granit och morän,Visst har vi glömt,36,283986,False,0.557,0.553,1,-8.735,0,0.0283,0.232,0.000361,0.136,0.466,132.848,4,swedish,4485,4,9408
